serie_id,publicacion_id,nombre_oficial,concepto,freq,unit_measure,unit_mult,adjustment,base_year,metodologia_id,inicio,fin,fuente_celda,notas,anio_referencia_indice
BCR.CONSUMO_PRIV.NOM.NSA.Q.RETRO,BCR.PIB_T.SERIE_RETROPOLADA_1990_2005,Consumo Privado,"Consumo privado, precios corrientes",Q,dólares corrientes,6,NSA,2005,SCN2008,1990-Q1,2005-Q4,"hoja T1, fila 28 (""Consumo Privado""), columnas C:BN; años en fila 8, trimestres en fila 9","Registrada como serie separada de su equivalente vigente, siguiendo el precedente de BCR.PIB.VOL.NSA.Q.RETRO. El empalme entre ambas, si se realiza, corresponde a 04_transformaciones y 05_series_master, no a este catálogo. Cobertura y ubicación de celda verificadas por lectura directa del archivo de L0_raw el 2026-08-13, con checksum confirmado contra manifiesto.csv y números de fila comprobados contra el XML crudo del .xlsx. Registrada en cumplimiento del criterio de 03_series como inventario de todo lo publicado (no solo de lo que el proyecto usa). No hay decisión tomada sobre su uso en modelación.",
BCR.CONSUMO_PUB.NOM.NSA.Q.RETRO,BCR.PIB_T.SERIE_RETROPOLADA_1990_2005,Consumo Público,"Consumo público, precios corrientes",Q,dólares corrientes,6,NSA,2005,SCN2008,1990-Q1,2005-Q4,"hoja T1, fila 29 (""Consumo Público""), columnas C:BN; años en fila 8, trimestres en fila 9","Registrada como serie separada de su equivalente vigente, siguiendo el precedente de BCR.PIB.VOL.NSA.Q.RETRO. El empalme entre ambas, si se realiza, corresponde a 04_transformaciones y 05_series_master, no a este catálogo. Cobertura y ubicación de celda verificadas por lectura directa del archivo de L0_raw el 2026-08-13, con checksum confirmado contra manifiesto.csv y números de fila comprobados contra el XML crudo del .xlsx. Registrada en cumplimiento del criterio de 03_series como inventario de todo lo publicado (no solo de lo que el proyecto usa). No hay decisión tomada sobre su uso en modelación.",
BCR.FBK.NOM.NSA.Q.RETRO,BCR.PIB_T.SERIE_RETROPOLADA_1990_2005,Formación Bruta de Capital,"Formación bruta de capital (incluye variación de existencias), precios corrientes",Q,dólares corrientes,6,NSA,2005,SCN2008,1990-Q1,2005-Q4,"hoja T1, fila 30 (""Formación Bruta de Capital 2/""), columnas C:BN; años en fila 8, trimestres en fila 9","No es el equivalente en precios corrientes de BCR.FBKF.VOL.NSA.Q.RETRO: aquélla es formación bruta de capital fijo (P51G); ésta incluye además la variación de existencias (equivalente a P5), conforme a la nota 2/ del propio archivo fuente y confirmado por la identidad contable del gasto verificada el 2026-08-13 (cierra exacta en precios corrientes en los ocho trimestres de control). Son conceptos distintos, no la misma serie en dos unidades. Registrada como serie separada de su equivalente vigente, siguiendo el precedente de BCR.PIB.VOL.NSA.Q.RETRO. El empalme entre ambas, si se realiza, corresponde a 04_transformaciones y 05_series_master, no a este catálogo. Cobertura y ubicación de celda verificadas por lectura directa del archivo de L0_raw el 2026-08-13, con checksum confirmado contra manifiesto.csv y números de fila comprobados contra el XML crudo del .xlsx. Registrada en cumplimiento del criterio de 03_series como inventario de todo lo publicado (no solo de lo que el proyecto usa). No hay decisión tomada sobre su uso en modelación.",
BCR.EXPORT.NOM.NSA.Q.RETRO,BCR.PIB_T.SERIE_RETROPOLADA_1990_2005,Exportaciones de Bienes y Servicios,"Exportaciones de bienes y servicios, precios corrientes",Q,dólares corrientes,6,NSA,2005,SCN2008,1990-Q1,2005-Q4,"hoja T1, fila 31 (""Exportaciones de Bienes y Servicios""), columnas C:BN; años en fila 8, trimestres en fila 9","Registrada como serie separada de su equivalente vigente, siguiendo el precedente de BCR.PIB.VOL.NSA.Q.RETRO. El empalme entre ambas, si se realiza, corresponde a 04_transformaciones y 05_series_master, no a este catálogo. Cobertura y ubicación de celda verificadas por lectura directa del archivo de L0_raw el 2026-08-13, con checksum confirmado contra manifiesto.csv y números de fila comprobados contra el XML crudo del .xlsx. Registrada en cumplimiento del criterio de 03_series como inventario de todo lo publicado (no solo de lo que el proyecto usa). No hay decisión tomada sobre su uso en modelación.",
BCR.IMPORT.NOM.NSA.Q.RETRO,BCR.PIB_T.SERIE_RETROPOLADA_1990_2005,Importaciones de Bienes y Servicios,"Importaciones de bienes y servicios, precios corrientes",Q,dólares corrientes,6,NSA,2005,SCN2008,1990-Q1,2005-Q4,"hoja T1, fila 32 (""Importaciones de Bienes y Servicios""), columnas C:BN; años en fila 8, trimestres en fila 9","Registrada como serie separada de su equivalente vigente, siguiendo el precedente de BCR.PIB.VOL.NSA.Q.RETRO. El empalme entre ambas, si se realiza, corresponde a 04_transformaciones y 05_series_master, no a este catálogo. Cobertura y ubicación de celda verificadas por lectura directa del archivo de L0_raw el 2026-08-13, con checksum confirmado contra manifiesto.csv y números de fila comprobados contra el XML crudo del .xlsx. Registrada en cumplimiento del criterio de 03_series como inventario de todo lo publicado (no solo de lo que el proyecto usa). No hay decisión tomada sobre su uso en modelación.",
BCR.CONSUMO_FINAL.VOL.NSA.Q,BCR.PIB_T.INDICES_VOLUMEN_ENCADENADOS_NSA,25 Gasto de consumo final,"Gasto de consumo final (volumen), precios constantes",Q,índice de volumen encadenado,,NSA,2005,SCN2008,2005-Q1,2026-Q1,"hoja worksheet, fila 30 (""25 Gasto de consumo final""), columnas B:CH; años en fila 4, trimestres en fila 5","Serie en índices de volumen encadenados: los componentes NO suman aritméticamente al total del PIB. Verificado el 2026-08-13 sobre el archivo fuente (2025-Q4: la suma de componentes da 480.67 frente a un PIB de 137.58). Es la propiedad esperada del encadenamiento bajo SCN 2008 — cada componente se encadena de forma independiente — y no un defecto del archivo. Para cualquier cálculo de participaciones o ponderaciones deben usarse las series NOM en precios corrientes, que sí son aditivas. Cobertura y ubicación de celda verificadas por lectura directa del archivo de L0_raw el 2026-08-13, con checksum confirmado contra manifiesto.csv y números de fila comprobados contra el XML crudo del .xlsx. Registrada en cumplimiento del criterio de 03_series como inventario de todo lo publicado (no solo de lo que el proyecto usa). No hay decisión tomada sobre su uso en modelación.",2014
BCR.CONSUMO_PRIV.VOL.NSA.Q,BCR.PIB_T.INDICES_VOLUMEN_ENCADENADOS_NSA,25.1 Consumo privado,"Consumo privado (volumen), precios constantes",Q,índice de volumen encadenado,,NSA,2005,SCN2008,2005-Q1,2026-Q1,"hoja worksheet, fila 31 (""25.1 Consumo privado""), columnas B:CH; años en fila 4, trimestres en fila 5","Serie en índices de volumen encadenados: los componentes NO suman aritméticamente al total del PIB. Verificado el 2026-08-13 sobre el archivo fuente (2025-Q4: la suma de componentes da 480.67 frente a un PIB de 137.58). Es la propiedad esperada del encadenamiento bajo SCN 2008 — cada componente se encadena de forma independiente — y no un defecto del archivo. Para cualquier cálculo de participaciones o ponderaciones deben usarse las series NOM en precios corrientes, que sí son aditivas. Cobertura y ubicación de celda verificadas por lectura directa del archivo de L0_raw el 2026-08-13, con checksum confirmado contra manifiesto.csv y números de fila comprobados contra el XML crudo del .xlsx. Registrada en cumplimiento del criterio de 03_series como inventario de todo lo publicado (no solo de lo que el proyecto usa). No hay decisión tomada sobre su uso en modelación.",2014
BCR.CONSUMO_PUB.VOL.NSA.Q,BCR.PIB_T.INDICES_VOLUMEN_ENCADENADOS_NSA,25.2 Consumo público,"Consumo público (volumen), precios constantes",Q,índice de volumen encadenado,,NSA,2005,SCN2008,2005-Q1,2026-Q1,"hoja worksheet, fila 32 (""25.2 Consumo público""), columnas B:CH; años en fila 4, trimestres en fila 5","Serie en índices de volumen encadenados: los componentes NO suman aritméticamente al total del PIB. Verificado el 2026-08-13 sobre el archivo fuente (2025-Q4: la suma de componentes da 480.67 frente a un PIB de 137.58). Es la propiedad esperada del encadenamiento bajo SCN 2008 — cada componente se encadena de forma independiente — y no un defecto del archivo. Para cualquier cálculo de participaciones o ponderaciones deben usarse las series NOM en precios corrientes, que sí son aditivas. Cobertura y ubicación de celda verificadas por lectura directa del archivo de L0_raw el 2026-08-13, con checksum confirmado contra manifiesto.csv y números de fila comprobados contra el XML crudo del .xlsx. Registrada en cumplimiento del criterio de 03_series como inventario de todo lo publicado (no solo de lo que el proyecto usa). No hay decisión tomada sobre su uso en modelación.",2014
BCR.FBKF.VOL.NSA.Q,BCR.PIB_T.INDICES_VOLUMEN_ENCADENADOS_NSA,26 Formación bruta de capital fijo,"Formación bruta de capital fijo (volumen), precios constantes",Q,índice de volumen encadenado,,NSA,2005,SCN2008,2005-Q1,2026-Q1,"hoja worksheet, fila 33 (""26 Formación bruta de capital fijo 2/""), columnas B:CH; años en fila 4, trimestres en fila 5","Serie en índices de volumen encadenados: los componentes NO suman aritméticamente al total del PIB. Verificado el 2026-08-13 sobre el archivo fuente (2025-Q4: la suma de componentes da 480.67 frente a un PIB de 137.58). Es la propiedad esperada del encadenamiento bajo SCN 2008 — cada componente se encadena de forma independiente — y no un defecto del archivo. Para cualquier cálculo de participaciones o ponderaciones deben usarse las series NOM en precios corrientes, que sí son aditivas. Cobertura y ubicación de celda verificadas por lectura directa del archivo de L0_raw el 2026-08-13, con checksum confirmado contra manifiesto.csv y números de fila comprobados contra el XML crudo del .xlsx. Registrada en cumplimiento del criterio de 03_series como inventario de todo lo publicado (no solo de lo que el proyecto usa). No hay decisión tomada sobre su uso en modelación.",2014
BCR.EXPORT.VOL.NSA.Q,BCR.PIB_T.INDICES_VOLUMEN_ENCADENADOS_NSA,27 Exportaciones de bienes y servicios,"Exportaciones de bienes y servicios (volumen), precios constantes",Q,índice de volumen encadenado,,NSA,2005,SCN2008,2005-Q1,2026-Q1,"hoja worksheet, fila 34 (""27 Exportaciones de bienes y servicios""), columnas B:CH; años en fila 4, trimestres en fila 5","Serie en índices de volumen encadenados: los componentes NO suman aritméticamente al total del PIB. Verificado el 2026-08-13 sobre el archivo fuente (2025-Q4: la suma de componentes da 480.67 frente a un PIB de 137.58). Es la propiedad esperada del encadenamiento bajo SCN 2008 — cada componente se encadena de forma independiente — y no un defecto del archivo. Para cualquier cálculo de participaciones o ponderaciones deben usarse las series NOM en precios corrientes, que sí son aditivas. Cobertura y ubicación de celda verificadas por lectura directa del archivo de L0_raw el 2026-08-13, con checksum confirmado contra manifiesto.csv y números de fila comprobados contra el XML crudo del .xlsx. Registrada en cumplimiento del criterio de 03_series como inventario de todo lo publicado (no solo de lo que el proyecto usa). No hay decisión tomada sobre su uso en modelación.",2014
BCR.IMPORT.VOL.NSA.Q,BCR.PIB_T.INDICES_VOLUMEN_ENCADENADOS_NSA,28 Importaciones de bienes y servicios,"Importaciones de bienes y servicios (volumen), precios constantes",Q,índice de volumen encadenado,,NSA,2005,SCN2008,2005-Q1,2026-Q1,"hoja worksheet, fila 35 (""28 Importaciones de bienes y servicios""), columnas B:CH; años en fila 4, trimestres en fila 5","Serie en índices de volumen encadenados: los componentes NO suman aritméticamente al total del PIB. Verificado el 2026-08-13 sobre el archivo fuente (2025-Q4: la suma de componentes da 480.67 frente a un PIB de 137.58). Es la propiedad esperada del encadenamiento bajo SCN 2008 — cada componente se encadena de forma independiente — y no un defecto del archivo. Para cualquier cálculo de participaciones o ponderaciones deben usarse las series NOM en precios corrientes, que sí son aditivas. Cobertura y ubicación de celda verificadas por lectura directa del archivo de L0_raw el 2026-08-13, con checksum confirmado contra manifiesto.csv y números de fila comprobados contra el XML crudo del .xlsx. Registrada en cumplimiento del criterio de 03_series como inventario de todo lo publicado (no solo de lo que el proyecto usa). No hay decisión tomada sobre su uso en modelación.",2014
BCR.VAB_AGRICULTURA.NOM.NSA.Q,BCR.PIB_T.NOMINAL,"2 A. Agricultura, ganadería, silvicultura y pesca","Valor agregado bruto, agricultura, ganadería, silvicultura y pesca, precios corrientes",Q,dólares corrientes,6,NSA,2005,SCN2008,2005-Q1,2026-Q1,"hoja worksheet, fila 7 (""2 A. Agricultura, ganadería, silvicultura y pesca""), columnas B:CH; años en fila 4, trimestres en fila 5","Cobertura y ubicación de celda verificadas por lectura directa del archivo de L0_raw el 2026-08-15, con checksum confirmado contra manifiesto.csv y números de fila comprobados contra el XML crudo del .xlsx. Registrada en cumplimiento del criterio de 03_series como inventario de todo lo publicado (no solo de lo que el proyecto usa). No hay decisión tomada sobre su uso en modelación. Serie en precios corrientes: SÍ es aditiva, a diferencia de las series VOL en índices de volumen encadenados. Verificado el 2026-08-15 sobre cuatro trimestres repartidos (2005-Q4, 2012-Q2, 2019-Q3, 2025-Q4): la suma de actividades iguala el valor agregado bruto, el valor agregado bruto más impuestos netos iguala el PIB, y la identidad del gasto cierra, en los cuatro casos con diferencias no superiores a 0.02 millones atribuibles a redondeo de publicación. Estas series son las que corresponde usar para participaciones, ponderaciones y cualquier cálculo que requiera aditividad.",
BCR.VAB_MINAS.NOM.NSA.Q,BCR.PIB_T.NOMINAL,3 B. Explotación de minas y canteras,"Valor agregado bruto, explotación de minas y canteras, precios corrientes",Q,dólares corrientes,6,NSA,2005,SCN2008,2005-Q1,2026-Q1,"hoja worksheet, fila 8 (""3 B. Explotación de minas y canteras""), columnas B:CH; años en fila 4, trimestres en fila 5","Cobertura y ubicación de celda verificadas por lectura directa del archivo de L0_raw el 2026-08-15, con checksum confirmado contra manifiesto.csv y números de fila comprobados contra el XML crudo del .xlsx. Registrada en cumplimiento del criterio de 03_series como inventario de todo lo publicado (no solo de lo que el proyecto usa). No hay decisión tomada sobre su uso en modelación. Serie en precios corrientes: SÍ es aditiva, a diferencia de las series VOL en índices de volumen encadenados. Verificado el 2026-08-15 sobre cuatro trimestres repartidos (2005-Q4, 2012-Q2, 2019-Q3, 2025-Q4): la suma de actividades iguala el valor agregado bruto, el valor agregado bruto más impuestos netos iguala el PIB, y la identidad del gasto cierra, en los cuatro casos con diferencias no superiores a 0.02 millones atribuibles a redondeo de publicación. Estas series son las que corresponde usar para participaciones, ponderaciones y cualquier cálculo que requiera aditividad.",
BCR.VAB_MANUFACTURA.NOM.NSA.Q,BCR.PIB_T.NOMINAL,4 C. Industrias manufactureras,"Valor agregado bruto, industrias manufactureras, precios corrientes",Q,dólares corrientes,6,NSA,2005,SCN2008,2005-Q1,2026-Q1,"hoja worksheet, fila 9 (""4 C. Industrias manufactureras""), columnas B:CH; años en fila 4, trimestres en fila 5","Cobertura y ubicación de celda verificadas por lectura directa del archivo de L0_raw el 2026-08-15, con checksum confirmado contra manifiesto.csv y números de fila comprobados contra el XML crudo del .xlsx. Registrada en cumplimiento del criterio de 03_series como inventario de todo lo publicado (no solo de lo que el proyecto usa). No hay decisión tomada sobre su uso en modelación. Serie en precios corrientes: SÍ es aditiva, a diferencia de las series VOL en índices de volumen encadenados. Verificado el 2026-08-15 sobre cuatro trimestres repartidos (2005-Q4, 2012-Q2, 2019-Q3, 2025-Q4): la suma de actividades iguala el valor agregado bruto, el valor agregado bruto más impuestos netos iguala el PIB, y la identidad del gasto cierra, en los cuatro casos con diferencias no superiores a 0.02 millones atribuibles a redondeo de publicación. Estas series son las que corresponde usar para participaciones, ponderaciones y cualquier cálculo que requiera aditividad.",
